User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDC,@CDCgov,2021-04-21T20:51:02.000Z,"Nearly 60% of U.S. states and territories are reporting high rates of #COVID19. Help slow the spread in your community:
 Wear a mask. 
 Stay 6 feet apart.
 Get vaccinated when it’s available to you.
 Avoid crowds.
More: https://bit.ly/36EDJQI.",82,203,323
CDC,@CDCgov,2021-04-21T20:07:04.000Z,"#DYK? The Federal Retail Pharmacy Program partners with retail pharmacies to expand #COVID19 vaccination at community sites like schools, stadiums, & more. 

Read stories from the field to learn how pharmacies are helping get people vaccinated in the U.S.: https://bit.ly/3elkhwb",16,27,75
